Table Name,Short Name,,Latitude (average),Longitude (average),Icon,Country,
Guyana,Guyana,"'Guyana',",5.00,-59.00,,Guyana,1
Haiti,Haiti,"'Haiti',",19.00,-72.42,,Haiti,1
Honduras,Honduras,"'Honduras',",15.00,-86.50,,Honduras,1
"Hong Kong SAR, China","Hong Kong SAR, China","'Hong Kong SAR, China',",22.25,114.17,,Hong Kong,
Hungary,Hungary,"'Hungary',",47.00,20.00,,Hungary,1
Iceland,Iceland,"'Iceland',",65.00,-18.00,,Iceland,1
India,India,"'India',",20.00,77.00,,India,1
Indonesia,Indonesia,"'Indonesia',",-5.00,120.00,,Indonesia,1
"Iran, Islamic Rep.",Iran,"'Iran',",32.00,53.00,,"Iran, Islamic Republic of",
Iraq,Iraq,"'Iraq',",33.00,44.00,,Iraq,1
Ireland,Ireland,"'Ireland',",53.00,-8.00,,Ireland,1
Isle of Man,Isle of Man,"'Isle of Man',",54.23,-4.55,,Isle of Man,1
Israel,Israel,"'Israel',",31.50,34.75,,Israel,1
Italy,Italy,"'Italy',",42.83,12.83,,Italy,1
Jamaica,Jamaica,"'Jamaica',",18.25,-77.50,,Jamaica,1
Japan,Japan,"'Japan',",36.00,138.00,,Japan,1
Jordan,Jordan,"'Jordan',",31.00,36.00,,Jordan,1
Kazakhstan,Kazakhstan,"'Kazakhstan',",48.00,68.00,,Kazakhstan,1
Kenya,Kenya,"'Kenya',",1.00,38.00,,Kenya,1
Kiribati,Kiribati,"'Kiribati',",1.42,173.00,,Kiribati,1
"Korea, Dem. Rep.",Dem. People's Rep. Korea,"'Dem. People's Rep. Korea',",40.00,127.00,,"Korea, Democratic People's Republic of",
"Korea, Rep.",Korea,"'Korea',",37.00,127.50,,"Korea, Republic of",
Kosovo,Kosovo,"'Kosovo',",42.60,20.90,,Kosovo,
Kuwait,Kuwait,"'Kuwait',",29.34,47.66,,Kuwait,1
Kyrgyz Republic,Kyrgyz Republic,"'Kyrgyz Republic',",41.00,75.00,,Kyrgyzstan,
Lao PDR,Lao PDR,"'Lao PDR',",18.00,105.00,,Lao People's Democratic Republic,
Latvia,Latvia,"'Latvia',",57.00,25.00,,Latvia,1
Lebanon,Lebanon,"'Lebanon',",33.83,35.83,,Lebanon,1
Lesotho,Lesotho,"'Lesotho',",-29.50,28.50,,Lesotho,1
Liberia,Liberia,"'Liberia',",6.50,-9.50,,Liberia,1
Libya,Libya,"'Libya',",25.00,17.00,,Libyan Arab Jamahiriya,
Liechtenstein,Liechtenstein,"'Liechtenstein',",47.17,9.53,,Liechtenstein,1
Lithuania,Lithuania,"'Lithuania',",56.00,24.00,,Lithuania,1
Luxembourg,Luxembourg,"'Luxembourg',",49.75,6.17,,Luxembourg,1
"Macao SAR, China","Macao SAR, China","'Macao SAR, China',",22.17,113.55,,Macao,
"Macedonia, FYR",Macedonia,"'Macedonia',",41.83,22.00,,"Macedonia, the former Yugoslav Republic of",
